id,23BJ_DTA,22BJ_SHS,22BJ_DTA,23BJ_SHS,22MS_SHS,23MS_DTA,22MS_DTA,23MS_SHS,23MS_EH,23MS_EL,22BJ_EL,22MS_EH,22BJ_EH,22MS_EL,23BJ_EH,23BJ_EL
258,68.99,15.67,64.99,14.0,16.0,93.06,90.31,15.96,127.09,13.82,15.67,109.92,118.42,17.33,111.54,15.14
259,66.51,14.67,62.01,13.33,13.5,85.49,84.54,13.69,86.22,10.84,14.04,71.33,94.01,13.56,81.34,13.18
260,57.97,10.5,49.98,9.67,15.5,73.54,68.11,13.26,49.23,15.34,14.92,45.74,63.53,16.64,42.53,8.55
261,68.87,14.17,65.49,10.93,11.0,90.11,81.22,14.67,72.94,10.36,9.5,71.22,80.67,9.56,63.2,10.49
262,66.93,13.34,62.5,13.67,12.5,89.13,88.38,15.02,96.44,17.87,17.34,85.69,93.02,17.83,77.44,19.74
264,67.4,15.59,56.99,11.5,15.5,84.26,75.45,13.78,81.75,11.15,12.84,56.72,96.99,17.56,74.33,12.36
265,71.93,14.67,64.51,15.67,15.5,90.42,86.42,15.72,89.89,11.67,14.0,77.76,102.49,14.08,77.05,13.94
266,68.31,10.67,59.01,9.33,11.5,83.74,84.89,10.64,59.55,11.8,12.22,47.09,62.09,13.01,56.22,14.27
267,71.42,13.5,63.51,11.0,13.0,89.63,88.75,12.7,88.17,16.07,16.17,98.5,82.66,18.35,85.23,15.05
268,61.3,11.5,55.54,10.33,12.0,81.43,80.89,11.63,56.38,14.19,15.75,46.71,45.67,14.08,35.88,10.19
270,65.38,15.0,58.49,15.33,15.5,87.01,82.73,14.69,67.79,10.32,11.34,63.83,67.51,12.99,53.47,9.75
271,66.37,14.5,62.01,14.33,15.5,88.59,84.61,15.69,93.31,15.44,16.42,83.57,100.17,15.89,72.82,14.16
272,70.93,14.7,64.03,12.5,13.5,89.63,89.18,13.33,98.64,13.67,15.14,93.19,100.19,15.39,84.1,16.17
273,76.98,15.7,67.52,15.0,15.5,94.82,89.77,14.73,118.14,12.52,13.81,105.52,100.13,13.98,81.27,13.3
274,60.82,14.5,54.54,13.0,14.5,79.26,73.68,14.0,57.56,15.06,14.83,51.87,62.17,16.64,38.53,7.53
