Taxa,TotalIF21SY,TotalIF21CP,O20SY,TotalFA20SY,P21SY,TotalFA21SY,TotalIF20SY,O20NK,P21CP,TotalIF20NK,O21SY,TotalFA20NK,P20SY,TotalFA21CP,O21CP,P20NK
G165,,2683.58,20.62,401.88,43.9,,4262.03,,44.44,,19.84,,43.11,452.9,20.42,
G166,4468.06,4699.48,20.59,466.71,41.85,585.34,4438.05,,42.55,,19.46,,41.3,494.25,20.11,
G167,2976.29,1904.75,21.25,400.01,41.86,564.15,3918.93,,41.16,1512.4,20.28,471.72,40.91,585.23,21.11,
G168,5100.04,4650.68,20.02,343.15,43.03,387.13,5105.88,19.76,42.97,2858.44,19.76,309.41,43.78,426.6,20.1,41.5
G169,4254.34,3496.36,20.17,378.54,43.11,459.29,3726.58,20.23,42.56,2123.84,20.3,322.85,43.32,448.07,20.34,43.67
G17,3403.23,2820.6,22.55,253.67,40.41,374.42,4946.16,21.44,40.39,1556.28,21.63,279.03,39.17,352.78,21.69,39.58
G170,3784.96,2588.46,20.12,327.61,43.17,422.22,4070.3,,41.34,,20.11,,43.95,389.67,21.14,
G171,4284.26,3875.59,21.41,434.01,41.13,495.45,4744.86,,38.68,,20.38,,39.78,506.93,21.31,
G172,4606.69,4170.37,21.43,363.01,40.82,422.69,5278.19,21.29,41.34,2040.54,21.46,380.74,42.79,402.93,22.28,40.79
G173,5068.11,3497.58,20.68,355.04,39.78,376.01,5146.81,17.82,40.08,2117.47,20.47,369.17,40.33,463.46,20.47,46.05
G174,3840.68,3166.05,21.32,347.21,40.03,415.04,4105.01,21.93,41.9,2345.49,21.29,420.62,41.52,481.91,21.41,40.32
G175,3100.93,3548.73,19.51,389.05,45.39,629.83,3490.77,,45.39,,18.85,,44.48,536.08,18.95,
G176,4352.44,3168.54,20.05,454.81,42.41,593.61,3598.13,18.68,41.78,1764.33,19.76,494.76,43.18,617.9,20.42,42.16
G177,3529.59,2620.32,21.81,349.77,41.06,406.52,4110.41,20.33,41.35,1262.41,20.43,387.9,40.69,430.12,21.99,40.56
G178,3428.26,2633.89,21.06,350.22,40.16,403.65,4485.91,,42.65,,20.06,,41.26,423.6,20.66,
G179,5528.22,5266.1,20.94,326.01,42.27,424.76,5963.05,20.84,41.82,3742.01,20.67,349.64,41.92,463.77,20.8,39.35
G18,5069.79,5896.89,19.87,327.11,43.64,467.87,4764.93,18.77,41.89,575.39,19.51,380.64,41.74,416.86,19.68,41.42
G180,4157.98,4539.82,19.61,332.03,43.82,545.63,5449.99,20.0,41.45,4183.26,19.4,374.39,43.32,419.16,20.62,40.02
G181,5673.26,5843.59,20.42,309.04,42.02,386.23,6127.32,20.03,39.05,2601.43,19.9,300.69,41.69,358.03,21.65,40.2
G182,3878.17,3380.16,20.9,301.87,41.65,407.12,4563.0,19.71,42.04,2158.69,19.99,304.71,42.41,455.61,20.93,39.66
G183,3170.06,3069.91,21.03,280.72,40.59,451.25,3864.3,22.32,41.36,2450.85,20.5,397.94,41.72,430.68,21.15,37.25
